Year,timeseries,Value
2010,child deliveries in hospitals,656390
2011,child deliveries in hospitals,642197
2012,child deliveries in hospitals,653215
2013,child deliveries in hospitals,661138
2014,child deliveries in hospitals,692794
2015,child deliveries in hospitals,716539
2016,child deliveries in hospitals,761777
2017,child deliveries in hospitals,762343
2018,child deliveries in hospitals,757878
2010,live births total,677947
2011,live births total,662685
2012,live births total,673544
2013,live births total,682069
2014,live births total,714927
2015,live births total,737575
2016,live births total,792141
2017,live births total,784901
2018,live births total,787523
2019,live births total,778090
