Year,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,,,,output of the environmental goods and services sector (egss),286978.155
2023,,p,,,output of the environmental goods and services sector (egss),284514.935
2010,,,,,gross fixed capital formation for environmental protection activities,10279.0
2011,,,,,gross fixed capital formation for environmental protection activities,11415.0
2012,,,,,gross fixed capital formation for environmental protection activities,11701.0
2013,,,,,gross fixed capital formation for environmental protection activities,11331.0
2014,,r,,,gross fixed capital formation for environmental protection activities,12659.0
2015,,,,,gross fixed capital formation for environmental protection activities,12117.0
2016,,,,,gross fixed capital formation for environmental protection activities,12824.0
2017,,,,,gross fixed capital formation for environmental protection activities,13263.0
2018,,,,,gross fixed capital formation for environmental protection activities,14747.0
2019,,,,,gross fixed capital formation for environmental protection activities,15577.0
2020,,,,,gross fixed capital formation for environmental protection activities,16070.0
2021,,,,,gross fixed capital formation for environmental protection activities,14209.0
2022,,p,,,gross fixed capital formation for environmental protection activities,15929.0
2010,general government,,,,gross fixed capital formation for environmental protection activities,2726.0
2011,general government,,,,gross fixed capital formation for environmental protection activities,3434.0
2012,general government,,,,gross fixed capital formation for environmental protection activities,3716.0
2013,general government,,,,gross fixed capital formation for environmental protection activities,3708.0
2014,general government,r,,,gross fixed capital formation for environmental protection activities,4271.0
2015,general government,,,,gross fixed capital formation for environmental protection activities,4051.0
2016,general government,,,,gross fixed capital formation for environmental protection activities,4594.0
2017,general government,,,,gross fixed capital formation for environmental protection activities,4245.0
2018,general government,,,,gross fixed capital formation for environmental protection activities,4625.0
2019,general government,,,,gross fixed capital formation for environmental protection activities,4979.0
2020,general government,,,,gross fixed capital formation for environmental protection activities,5028.0
2021,general government,,,,gross fixed capital formation for environmental protection activities,3589.0
2022,general government,p,,,gross fixed capital formation for environmental protection activities,3902.0
2010,corporations,,,,gross fixed capital formation for environmental protection activities,7553.0
2011,corporations,,,,gross fixed capital formation for environmental protection activities,7981.0
2012,corporations,,,,gross fixed capital formation for environmental protection activities,7985.0
2013,corporations,,,,gross fixed capital formation for environmental protection activities,7623.0
2014,corporations,,,,gross fixed capital formation for environmental protection activities,8388.0
2015,corporations,,,,gross fixed capital formation for environmental protection activities,8066.0
2016,corporations,,,,gross fixed capital formation for environmental protection activities,8230.0
2017,corporations,,,,gross fixed capital formation for environmental protection activities,9018.0
2018,corporations,,,,gross fixed capital formation for environmental protection activities,10123.0
2019,corporations,,,,gross fixed capital formation for environmental protection activities,10598.0
2020,corporations,,,,gross fixed capital formation for environmental protection activities,11042.0
2021,corporations,,,,gross fixed capital formation for environmental protection activities,10620.0
2022,corporations,p,,,gross fixed capital formation for environmental protection activities,12026.0
