Year,sex,percentiles,Value
2005,female,p5,
2006,female,p5,1085
2007,female,p5,
2005,female,p10,
2006,female,p10,1231
2007,female,p10,
2005,female,p25,
2006,female,p25,1501
2007,female,p25,
2005,female,p50,
2006,female,p50,1833
2007,female,p50,
2005,female,p75,
2006,female,p75,2234
2007,female,p75,
2005,female,p90,
2006,female,p90,2678
2007,female,p90,
2005,female,p95,
2006,female,p95,3018
2007,female,p95,
2005,male,p5,
2006,male,p5,1394
2007,male,p5,
2005,male,p10,
2006,male,p10,1585
2007,male,p10,
2005,male,p25,
2006,male,p25,1962
2007,male,p25,
2005,male,p50,
2006,male,p50,2413
2007,male,p50,
2005,male,p75,
2006,male,p75,3024
2007,male,p75,
2005,male,p90,
2006,male,p90,3719
2007,male,p90,
2005,male,p95,
2006,male,p95,4268
2007,male,p95,
