Year,sector,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2019,,,.,,
2021,,,…,,
2019,general services,,.,,
2021,general services,,…,,
2019,"education, science, research, cultural affairs",,.,,
2020,"education, science, research, cultural affairs",2.4,|,,
2021,"education, science, research, cultural affairs",,…,,
2019,"energy and water management, trade, services",,.,,
2020,"energy and water management, trade, services",2.1,|,,
2021,"energy and water management, trade, services",,…,,
2019,"food, agriculture and forestry",,.,,
2020,"food, agriculture and forestry",12.6,|,,
2021,"food, agriculture and forestry",,…,,
2019,financial services,,.,,
2021,financial services,,…,,
2019,"health, environment, sport and recreation",,.,,
2021,"health, environment, sport and recreation",,…,,
2019,"social security, family and youth, labour market policy",,.,,
2021,"social security, family and youth, labour market policy",,…,,
2019,transport and communications,,.,,
2021,transport and communications,,…,,
2019,"housing, urban development, regional planning and municipal community services",,.,,
2021,"housing, urban development, regional planning and municipal community services",,…,,
